"","country.x","country_code","iso","designation","Country","country_emissions","global_emissions","emissions_share","readiness_2021","vulnerability_2021","gdp_reformed","gdp_2021","country.y","renewable_share_2020","env_exposure_2022","emissions_share_scaled","readiness_2021_scaled","vulnerability_2021_scaled","gdp_reformed_scaled","renewable_share_2020_scaled","env_exposure_2022_scaled"
"67","Ecuador","248","ECU","emerging_mkt","Ecuador",1249.64834,1693867.357528,0.000737748640379796,0.345680347986533,0.451233327024314,74218991359.2681,106165866000,"Ecuador",0.797390332453072,4,0.00296141220526945,0.311651214343854,0.47710436361938,0.0021574389802609,0.202609667546928,0.481481481481482
"68","Egypt","469","EGY","emerging_mkt","Egypt",6667.727841,1693867.357528,0.00393639313690463,0.352602567800585,0.420009270112721,311775517839.294,424671765456,"Egypt, Arab Rep. of",0.12173439128555,4.4,0.0158033040024447,0.322016895994779,0.405154079747774,0.00906566591698693,0.87826560871445,0.530864197530864
"69","El Salvador","253","SLV","emerging_mkt","El Salvador",239.956241,1693867.357528,0.000141661765859983,0.339460633481699,0.421235065040859,18535030941.8411,29451240000,"El Salvador",0.845981818439765,3.5,0.000568247490460892,0.302337499632589,0.40797870607028,0.000538129921489994,0.154018181560235,0.419753086419753
"70","Equatorial Guinea","642","GNQ","emerging_mkt","Equatorial Guinea",147.286981,1693867.357528,8.6953078318333e-05,0.245496555754978,0.412987966340133,10262411414.1605,12269393392,"Equatorial Guinea, Rep. of",0.119352601416819,2.8,0.000348603498595388,0.161630942704025,0.38897473441104,0.000297559250141953,0.880647398583181,0.333333333333333
"71","Eswatini","734","SWZ","emerging_mkt","Swaziland",41.989587,1693867.357528,2.47891824666123e-05,0.316023339223037,0.475895788090896,2935883593.99361,4748702401,"Eswatini, Kingdom of",1,3.4,9.90283973029544e-05,0.26724131118865,0.533934617283637,8.4501256788083e-05,0,0.407407407407407
"72","Fiji","819","FJI","emerging_mkt","Fiji",49.743048,1693867.357528,2.93665544583102e-05,0.478050372876623,0.454825660507143,2948496815.40184,4296235428,"Fiji, Rep. of",0.596756227786143,2,0.000117405592985897,0.509868776772356,0.485382256994442,8.48680536813629e-05,0.403243772213857,0.234567901234568
"73","Gabon","646","GAB","emerging_mkt","Gabon",274.275945,1693867.357528,0.000161922917860743,0.301743181871817,0.449544839054027,16402459094.2471,20217946921,"Gabon",0.539858901018719,2.2,0.000649591798014471,0.245857482156325,0.473213543502061,0.000476113985744734,0.460141098981281,0.259259259259259
"74","Georgia","915","GEO","emerging_mkt","Georgia",671.612173,1693867.357528,0.000396496319511192,0.56918169824784,0.399823052040079,16038563440.4785,18629365612,"Georgia",0.747254479203823,3.7,0.00159135517489589,0.646333427216897,0.358638531664671,0.00046553177276675,0.252745520796177,0.444444444444444
"75","Grenada","328","GRD","emerging_mkt","Grenada",8.570706,1693867.357528,5.05984483490368e-06,0.478677191183481,0.38201579530736,906458343.995154,1122800000,"Grenada",0.0197047587190366,0.8,1.98192137342254e-05,0.510807406171074,0.317604876732471,2.54848602030367e-05,0.980295241280963,0.0864197530864198
"76","Guatemala","258","GTM","emerging_mkt","Guatemala",462.048158,1693867.357528,0.000272777060108358,0.31114852467828,0.432345015997487,53495958000.8585,86053079767,"Guatemala",0.778595498325585,4.5,0.00109464810282083,0.259941517620166,0.43357961140402,0.0015548059169707,0.221404501674415,0.54320987654321
